iter	Passed	Remaining
0	2	227
1	4	217
2	6	213
3	8	200
4	12	236
5	14	228
6	16	221
7	18	217
8	20	211
9	23	207
10	25	207
11	27	202
12	29	195
13	30	188
14	32	183
15	33	178
16	35	173
17	37	168
18	38	164
19	40	162
20	42	158
21	43	155
22	45	151
23	47	149
24	48	146
25	50	142
26	51	140
27	53	137
28	55	135
29	56	132
30	58	130
31	59	127
32	61	125
33	63	122
34	64	120
35	66	117
36	67	115
37	69	113
38	71	111
39	72	108
40	74	106
41	74	103
42	76	101
43	78	99
44	79	97
45	81	95
46	83	93
47	85	92
48	86	90
49	88	88
50	89	86
51	91	84
52	93	82
53	94	80
54	95	78
55	97	76
56	99	74
57	101	73
58	102	71
59	104	69
60	105	67
61	107	65
62	108	64
63	110	62
64	112	60
65	113	58
66	115	57
67	117	55
68	119	53
69	120	51
70	122	50
71	124	48
72	125	46
73	127	44
74	129	43
75	131	41
76	133	39
77	135	38
78	136	36
79	138	34
80	140	32
81	142	31
82	144	29
83	146	27
84	147	26
85	149	24
86	150	22
87	152	20
88	154	19
89	156	17
90	158	15
91	160	13
92	161	12
93	163	10
94	165	8
95	166	6
96	168	5
97	171	3
98	172	1
99	176	0
